Sender,Subject,Date,Message body
YALI Network <yalin.mailer@state.gov>,There’s a NEW YALI4Youth Workbook,2021-01-12,"Youth Mentorship Workbook No images? Click here <URL> Dear Okwudili, In the past weeks, you've worked hard to learn some of the fundamentals of youth development and mentorship with our YALI4Youth Online Course. Now it's time to take your skills one step further. Today we're releasing the NEW YALI4Youth Youth Development Workbook to provide you with resources and personal exercises on some of the critical points of youth development. By completing this workbook, you'll be preparing yourself to be a successful and impactful youth mentor. So let's get started. Download and complete the new workbook today in either English, French, or Portuguese. Download the NEW Youth Development Workbook [<URL>] There's still more to come in YALI4Youth! Stay tuned to our Facebook [<URL>], Twitter [<URL>], and LinkedIn [<URL>] to see what's next. And don't forget that you can still take the YALI4Youth Pledge [<URL>], YALI4Youth Quiz [<URL>], or Online Course [<URL>] if you haven't already! Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2021 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Be one of the first to take the NEW online course,2020-12-22,"New course on youth development No images? Click here <URL> Dear Okwudili, You've already shown your commitment and compassion for Africa's youth. Now it's time to start building your mentorship skills. You can begin with our first resource - the NEW YALI Network Online Course, ""Developing, Mentoring and Supporting Youth."" This three-part course will examine the mentor-mentee relationship, how to create programs for professional skills development, and how to guide youth through conflict resolution and management. Be one of the first to earn your certificate for this new course in either English, French, or Portuguese! Take the New Online Course [<URL>] As you work through the course, don't forget that you can still take the YALI4Youth Pledge [<URL>] and Quiz [<URL>]. Take the quiz before or after completing the course to see how your knowledge measures up. There are still more YALI4Youth resources to come! Stay tuned to our Facebook [<URL>], Twitter [<URL>], and LinkedIn [<URL>] to see what's next. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2021 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Africa’s youth is waiting for you!,2020-12-02,"No images? Click here <URL> Dear Okwudili, Africa's youth are ready to become the next generation of global leaders - but they need your help. In order to become political, economic, and cultural changemakers, Africa's youth needs strong role models to mentor and coach them. They need you. If you're ready to commit to the future of Africa, click the link below to download the YALI4Youth Pledge. Take the YALI4Youth Pledge [<URL>] Next week we'll be releasing a brand new YALI4Youth resource, so keep an eye on your inbox and our Facebook [<URL>], Twitter [<URL>], and LinkedIn [<URL>]pages for more. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2021 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,YALI4Youth Starts NOW!,2020-11-24,"No images? Click here <URL> Dear Okwudili, Across the world, generations of youth are growing, learning, and preparing to become the next generation of leaders in their communities. But Africa's youth is special. According to the United Nations, there are over 226 million young people living in Africa today and in the next 30 years, 50% of the world's population growth will happen in Africa. This means Africa's youth isn't just preparing to be local leaders. They're preparing to be global leaders. But what types of leaders will they become? Today, we're excited to announce the start of YALI4Youth. Over the coming months through YALI4Youth, you'll learn how to mentor youth and help them become the types of leaders who change businesses, communities, cultures, and countries for the better. Are you ready to get started? Click the link below to download the YALI4Youth Pledge and show your dedication to the next generation of African leaders. Take the YALI4Youth Pledge [<URL>] In the coming months, we'll be sharing even more YALI4Youth resources, including a brand new online quiz and course! Keep an eye on our Facebook [<URL>], Twitter [<URL>], and LinkedIn [<URL>] pages for more. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2021 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,YALI RLC West Africa - Applications Open!,2020-10-23,"No images? Click here <URL> Dear Okwudili, Are you passionate about improving your leadership skills through the most experiential training on the continent? Join the over 6,000 YALI Regional Leadership Center Accra Alumni impacting their communities, organizations, and countries. The RLC West Africa develops the skills of young African leaders by providing core training in contemporary African issues, as well as specialized training in three key areas: Business and Entrepreneurship, Civic Leadership, and Public Management. Applications for Cohort 37 are now open until November 29, 2020! Apply Now! [<URL>] Competition for the YALI Regional Leadership Center West Africa is merit-based and open to young West African leaders who meet the following criteria: Are 18 to 35 years of age at the time of application submission,Are citizens and residents of one of the following countries: Ghana, Nigeria, Togo, Ivory Coast, Cameroon, Liberia, Sierra Leone, The Gambia and Burkina Faso.Are not U.S. citizens or permanent residents of the U.S.Are eligible to receive any necessary visa to Ghana, andAre proficient in reading, writing, listening and speaking English. Start your leadership dream today by joining us at the YALI RLC West Africa. Good luck! The YALI Regional Leadership Center West Africa Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Don't miss out on these financial literacy resources!,2020-10-22,"These YALIEntrepreneurs resources are here for you No images? Click here <URL> Dear Okwudili, Thousands of YALI Network members are perfecting their money management skills. It's time for you to join them! If you're ready to take control of your financial future and grow your financial literacy, then take our NEW YALI Network Online Course, ""Fundamentals of Personal Money Management."" This three-part course will break down important financial concepts and teach you how to create and meet lifelong financial goals. You can earn your certificate for this new course below in either English, French, or Portuguese. Take the Course [<URL>] After you've earned your certificate, you can apply your new skills to the NEW YALIEntrepreneurs Money Management Workbook [<URL>]. You can download and complete the workbook in English, French, or Portuguese today. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,YALIEntreprenuers Starts NOW!,2020-09-29,"Take control of your financial future No images? Click here <URL> Dear Okwudili, When it comes to money, one thing is certain--it always feels like we never quite have enough. But financial success isn't necessarily about how much money you have, but how well you manage it. While we all understand the importance of having money, understanding how to budget, invest, and plan for a financial future can be harder to grasp. That's why, today, we're launching YALIEntrepreneurs 2020. Over the next few weeks, YALIEntrepreneurs will allow you to explore the principles of financial literacy, learn new money management skills, and put it all into action. No matter where you stand financially, YALIEntrepreneurs will help set you up for financial success as both an individual and an entrepreneur. Are you ready to get started? Take your first step toward financial success with the brand NEW YALIEntrepreneurs Financial Literacy Quiz. You'll put your money management skills to the test and see where you stand! Take the Quiz [<URL>] In the coming weeks, we'll be sharing even more YALIEntrepreneurs resources, including a brand new online course and workbook! Keep an eye on our Facebook [<URL>], Twitter [<URL>], and LinkedIn [<URL>]pages for more over the coming weeks! Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,Honor the International Day of Democracy with YALILearns!,2020-09-15,"No images? Click here <URL> Dear Okwudili, Happy International Day of Democracy! Today is the day we can all stand up for democracy by teaching others about the electoral process. If you're ready to inform others about the role that citizens have in the electoral process, consider facilitating a Virtual YALILearns session on the YALI Network Online Course, "" Understanding Elections and Civic Responsibility. [<URL>]"" To get started planning your session, you can visit yali.state.gov/learns [<URL>] for the Virtual Session Planning Toolkit [<URL>] and Facilitation Guide [<URL>]. And don't forget that you can earn a custom YALILearns certificate, by sharing the details of your session with us. Click the link below to start earning your certificate! Tell us about your YALILearns session [<URL>] In the coming weeks, the YALI Network Team will review all of the submissions and issue custom certificates for exceptional Virtual YALILearns sessions. Please note that certificates will only be issued to Network Members who facilitated a virtual session of their own in the recent month. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,There’s a brand NEW YALI Course!,2020-09-08,"No images? Click here <URL> Dear Okwudili, Responsible business practices and business ethics are inseparable from good leadership and from a strong professional. But ethical business isn't always so simple or easy to maintain. To help navigate the complex world of an ethical workplace, we're releasing our NEW YALI Network Online Course, ""Fundamentals of Responsible Leadership for Entrepreneurs."" This three-part course provides guidelines on how to maintain transparency, approach team building, avoid biases, and how to better manage risk. Whether you're a business owner or a dedicated employee, this course will help you build your leadership skills. Take the Course [<URL>] If you're looking for even more ways to build your professional skills, check out these YALIProfessionals resources: Emotional Intelligence Video Series [<URL>] Workforce Collaboration and Development Course [<URL>] Management Strategies Course [<URL>] Responsible Leadership Quiz [<URL>] Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
YALI Network <yalin.mailer@state.gov>,It’s time to create change with YALILearns,2020-08-31,"No images? Click here <URL> Dear Okwudili, Each and every citizen has an important role to play in the electoral process. From voting to organizing, it's important that we all understand our civic responsibility and how to be involved in elections. To help teach others about democracy, in honor of the International Day of Democracy on September 15, we're encouraging everyone to facilitate a Virtual YALILearns session on the YALI Network Online Course, "" Understanding Elections and Civic Responsibility. [<URL>]"" By facilitating a Virtual session on this course, you'll be able to both learn and teach others about engaging with candidates and elected officials, organizing for civic engagement, and how to get the most from voting. To facilitate a Virtual YALILearns session, you'll simply lead a chat on the social media platform of your choice to discuss what you've learned from this online course. But don't worry - we have plenty of resources to help you through the process. To plan your Virtual YALILearns session: Download the Virtual Session Planning Toolkit [<URL>] for step-by-step instructions. Earn your certificate for the YALI Network Online Course, "" Understanding Elections and Civic Responsibility. [<URL>]"" Download the Facilitation Guide [<URL>] and choose one or two of the discussion questions you'd like to use for your virtual session. Share your session with us! In the coming weeks, we'll follow up with you on how to earn your YALILearns certificate. You can also connect with other YALI Network members and invite them to your virtual session by using the hashtag #YALILearns across social media. Best, Sarah YALI Network Team You're receiving this email as a YALI Network member who signed up, earned a YALI Network Online Course certificate, or pledged as a part of a YALI Network initiative. Want to learn about more events in your area or causes you care about? Tell us about yourself [<URL>] and your interests here. Not Okwudili? Sign up to [<URL>] receive [<URL>] more info from the YALI Network [<URL>], straight to your inbox! Copyright © 2020 U.S. Department of State, Young African Leaders Initiative. All rights reserved. Forward <URL> Unsubscribe <URL>"
